bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status,comments
,An approach to variability management in service-oriented product lines,"Khoshnevis, Sedigheh",Proceedings - International Conference on Software Engineering,2012,Scopus,1483 - 1486,,"Service-Oriented product lines (SOPLs) are dynamic software product lines, in which, the products are developed based on services and service-oriented architecture. Although there are similarities between components and services, there are important differences so that we cannot use component-based product line engineering methods and techniques for SOPL engineering. These differences emerge from the fact that, services can be discovered as black box elements from external repositories. Moreover, services can be dynamically bound and are business-aligned. Therefore, analyzing the conformance of discovered external services with the variability of services in the SOPL - which must be aligned to the variable business needs-is necessary. Variability must be managed, that is, it must be represented (modeled), used (instantiated and capable of conformance checking) and maintained (evolved) over time. Feature Models are insufficient for modeling variability in SOPL, because, services cannot be simply mapped to one or more features, and identification of the mapping depends on knowing the detailed implementation of the services. This research aims at providing an approach to managing the variability in SOPLs so that external services can be involved in the SOPL engineering. This paper presents an overview of the proposal. © 2012 IEEE.",Conference paper,10.1109/ICSE.2012.6227056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864236994&doi=10.1109%2FICSE.2012.6227056&partnerID=40&md5=9148e41c6836598b5d1e14fd2025bec6,,Conformance Checking; Service-Oriented Product Line; Variability Management; Variability Modeling,Black boxes; Component based; Conformance checking; Dynamic softwares; Feature models; Modeling variability; Product line engineering; Product-lines; Service Oriented; Variability management; Variability modeling; Information services; Production engineering; Service oriented architecture (SOA); Software design,,,,Cited by: 5,,Unclassified,
,"Business Process Management - 10th International Conference, BPM 2012, Proceedings",,Lecture Notes in Computer Science,2012,Scopus,,7481 LNCS,"The proceedings contain 26 papers. The topics discussed include: a decade of business process management conferences: personal reflections on a developing discipline; from calls to events: architecting future BPM systems; tying process model quality to the modeling process: the impact of structuring, movement, and speed; business process architecture: use and correctness; aligning event logs and declarative process models for conformance checking; context-aware compliance checking; measuring privacy compliance using fitness metrics; event-driven manufacturing process management approach; process-based design and integration of wireless sensor network applications; modeling rewards and incentive mechanisms for social BPM; automatic information flow analysis of business process models; managing and tracing the traversal of process clouds with templates, agendas and artifacts; and a generic framework for service-based business process elasticity in the cloud.",Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866401355&partnerID=40&md5=a4a9ca0345db56a8614d2a07f748042b,,,,,,,Cited by: 0,,Unclassified,
,"On the Move to Meaningful Internet Systems, OTM 2012 - Confederated International Conferences: CoopIS, DOA-SVI, and ODBASE 2012, Proceedings",,Lecture Notes in Computer Science,2012,Scopus,,7565 LNCS,The proceedings contain 60 papers. The topics discussed include: process and data: two sides of the same coin?; configurable declare: designing customizable flexible process models; efficacy-aware business process modeling; automated resource assignment in BPMN models using RACI matrices; hierarchical process verification in a semi-trusted environment; indexing process model flow dependencies for similarity search; a framework for cost-aware cloud data management; event-driven actors for supporting flexibility and scalability in service-based integration architecture; consistency in scalable systems; goal-oriented opportunistic sensor clouds; operations over lightweight ontologies; evaluating ontology matchers using arbitrary ontologies and human generated heterogeneities; making data meaningful: the business intelligence model and its formal semantics in description logics; and a non-intrusive movie recommendation system.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872791572&partnerID=40&md5=07015934dd82482c77ef85174cfaa95a,,,,,,,Cited by: 0,,Unclassified,
,"On the Move to Meaningful Internet Systems, OTM 2012 - Confederated International Conferences: CoopIS, DOA-SVI, and ODBASE 2012, Proceedings",,Lecture Notes in Computer Science,2012,Scopus,,7566 LNCS,The proceedings contain 60 papers. The topics discussed include: process and data: two sides of the same coin?; configurable declare: designing customizable flexible process models; efficacy-aware business process modeling; automated resource assignment in BPMN models using RACI matrices; hierarchical process verification in a semi-trusted environment; indexing process model flow dependencies for similarity search; a framework for cost-aware cloud data management; event-driven actors for supporting flexibility and scalability in service-based integration architecture; consistency in scalable systems; goal-oriented opportunistic sensor clouds; operations over lightweight ontologies; evaluating ontology matchers using arbitrary ontologies and human generated heterogeneities; making data meaningful: the business intelligence model and its formal semantics in description logics; and a non-intrusive movie recommendation system.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872825756&partnerID=40&md5=c603b8efd68dc5cf0210e494adbbcb5e,,,,,,,Cited by: 0,,Unclassified,
,Automatic reference architecture conformance checking for SOA - Based software systems,"Weinreich, Rainer and Buchgeher, Georg",,2014,Scopus,95 - 104,,"Company-wide reference architectures are an important means for standardization and reuse. Standardization is enforced through reference architecture conformance checking. Manual conformance checking is too time- and resource-intensive to be performed continuously for the various systems that are part of a SOA. We present an approach for automatic reference architecture conformance checking of SOA-based software systems. Reference architectures are defined based on rules consisting of roles and of constraints on roles and role relationships. By mapping the roles to the elements of a software architecture representation, reference architecture specifications are reusable for different software systems. Through automating the whole checking process, including architecture extraction, role mapping, and rule evaluation, the approach can be applied continuously for the different systems that are part of a SOA. The approach has been developed and refined by applying it to a SOA in the banking domain. During its evolution from semi-automatic to a fully automatic approach it has also changed the way of how architecture information is provided as part of the system implementation in this domain. © 2014 IEEE.",Conference paper,10.1109/WICSA.2014.22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903699771&doi=10.1109%2FWICSA.2014.22&partnerID=40&md5=96fd4bda5bf10a64931ef66740c65973,,conformance checking; reference architecture; service-oriented architecture (SOA); software architecture,Computer software; Information services; Mapping; Service oriented architecture (SOA); Software architecture; Standardization; Automatic approaches; Conformance checking; Reference architecture; Rule evaluation; Semi-automatics; Software systems; System implementation; Architecture,,,,Cited by: 19,,Unclassified,
,Making the case for centralized software architecture management,"Buchgeher, Georg and Weinreich, Rainer and Kriechbaum, Thomas",Lecture Notes in Business Information Processing,2016,Scopus,109 - 121,238,"Architectural knowledge is an important artifact for many software development and quality control activities. Examples for quality control activities based on architectural information are architecture reviews, dependency analyses, and conformance analyses. Architecture is also an important artifact for understanding, reuse, evolution, and maintenance. Unfortunately, in many projects architectural knowledge often remains implicit and is not available for a particular system stakeholder or outdated when it is actually needed. To address this problem, we propose to manage semi-formal software architecture knowledge in a central repository, where it is accessible to all stakeholders and where it can be automatically and continuously updated and analyzed by different tools. In this paper we discuss important elements and use cases of such an approach, and present an example for an architecture knowledge and information repository in the context of an enterprise service-oriented architecture (SOA). © Springer International Publishing Switzerland 2016.",Conference paper,10.1007/978-3-319-27033-3_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952684861&doi=10.1007%2F978-3-319-27033-3_8&partnerID=40&md5=a4af8833cd4d31ab4b96504f136faa9c,,Software architecture as a service; Software architecture information repositories; Software architecture knowledge management; Software architecture management; Software architecture models; Software architecture use cases; Software architecture views,Computer software selection and evaluation; Distributed computer systems; Information management; Information services; Knowledge management; Quality control; Software architecture; Software design; Software engineering; Architectural knowledge; Architecture management; Architecture review; Dependency analysis; Enterprise services; Information repositories; Software architecture knowledge managements; Software architecture model; Service oriented architecture (SOA),,,,Cited by: 5,,Unclassified,
,"Frank de Boer on the Occasion of His 60th Birthday, 2016",,Lecture Notes in Computer Science,2016,Scopus,1 - 426,9660,"The proceedings contain 27 papers. The special focus in this conference is on Theory and Practice of Formal Methods. The topics include: Conformance checking of real-time models; resource analysis of distributed systems; comparing trace expressions and linear temporal logic for runtime verification; proper protocol; a compositional approach to the verification of hybrid systems; array abstraction with symbolic pivots; modeling role-based systems with exogenous coordination; a safe, reactive storage abstraction; denotational and operational preciseness of subtyping; a sound and complete hoare logic for dynamically-typed, object-oriented programs; self-reconfiguring microservices; statically and dynamically verifiable SLA metrics; effectively eliminating auxiliaries; towards a proof method for paradigm; toward a formal foundation for time travel in stories and games; industrial application of formal models generated from domain specific languages; formal frameworks for verifying normative multi-agent systems; an exercise in coinductive reasoning in COQ; towards a kool future; on the expressiveness of synchronization in component deployment; characterization of simulation by probabilistic testing; on time actors; a small-step semantics of a concurrent calculus with goroutines and deferred functions and verifying alternative versions of quicksort.",Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962563952&partnerID=40&md5=7535bb31cc6e6d4cdecf785ea6ffcd94,,,,,,,Cited by: 0,,Unclassified,
,IntelliGOV - A semantic approach for compliance validation of service-oriented architectures,"Filho, Haroldo Maria Teixeira and Azevedo, Leonardo Guerreiro and Siqueira, Sean Wolfgand Matsui",Journal of Universal Computer Science,2016,Scopus,1048 - 1071,22,"Organizations are adopting Service-Oriented Architecture (SOA) to increase operation’s efficiency and flexibility. To accomplish these goals, it is necessary to ensure that the architecture and its evolution are compliant with business goals, best practices, legal and regulatory requirements. However, the diversity of domains and stakeholders involved in SOA solutions demands complex and expensive work to validate the architecture compliance. Hence, it can result in high costs and low quality assessment if the organization does not use an effective approach in this scenario. In addition, it would be important to consider standards and open solutions in order to promote interoperability and reuse of available tools, making it easier to spread throughout the organizations. We propose intelliGov, an architecture that aims to solve these problems by using ontologies, semantic rules and queries in order to simplify the compliance validation process. The architecture employs open standards-OWL, SWRL and SQWRL-in its implementation. A case study, executed in a global energy company that is currently adopting SOA, demonstrates gains in quality and costs of the compliance assessment process using the proposed architecture. © J.UCS.",Article,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994593688&partnerID=40&md5=5f8f38522e7c65e70b800d18f66a8a00,,Governance; Ontology; Semantic queries; Semantic rules; Service-Oriented Architecture (SOA),,,,,Cited by: 0,,Unclassified,
,A toolset for conformance testing against UML sequence diagrams based on event-driven colored Petri nets,"Faria, João Pascoal and Paiva, Ana C.R.",International Journal on Software Tools for Technology Transfer,2016,Scopus,285 - 304,18,"Novel techniques and a toolset are presented for automatically testing the conformance of software implementations against partial behavioral models constituted by a set of parameterized UML sequence diagrams, describing both external interactions with users or client applications and internal interactions between objects in the system. Test code is automatically generated from the sequence diagrams and executed on the implementation under test, and test results and coverage information are presented back visually in the model. A runtime test library handles internal interaction checking, test stubs, and user interaction testing, taking advantage of aspect-oriented programming techniques. Incremental conformance checking is achieved by first translating sequence diagrams to Extended Petri Nets that combine the characteristics of Colored Petri Nets and Event-Driven Petri Nets. © 2014, Springer-Verlag Berlin Heidelberg.",Article,10.1007/s10009-014-0354-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916919978&doi=10.1007%2Fs10009-014-0354-x&partnerID=40&md5=3e8d8d432ab1be0aab49b10fb25b96ec,,Conformance testing; Petri nets; Sequence diagrams,Application programs; Aspect oriented programming; Automatic test pattern generation; Codes (symbols); Graphic methods; Petri nets; Testing; Automatically generated; Client applications; Conformance checking; Conformance testing; Implementation under tests; Sequence diagrams; Software implementation; UML sequence diagrams; Software testing,,,,Cited by: 12,,Unclassified,
,"11th European Conference on Software Architecture, ECSA 2017",,Lecture Notes in Computer Science,2017,Scopus,1 - 215,10475 LNCS,"The proceedings contain 15 papers. The special focus in this conference is on Software Architecture. The topics include: Synthesis and quantitative verification of tradeoff spaces for families of software systems; PARAD repository: on the capitalization of the performance analysis process for AADL designs; continuous rearchitecting of QoS models: collaborative analysis for uncertainty reduction; the evolution of technical debt in the apache ecosystem; preventing erosion in exception handling design using static-architecture conformance checking; considerations about continuous experimentation for resource-constrained platforms in self-driving vehicles; an architecture framework for modelling and simulation of situational-aware cyber-physical systems; control of self-adaptation under partial observation; on cognitive biases in architecture decision making; automatic extraction of design decisions from issue management systems; design areas, stakeholders, use cases, and requirements; software architecture risk containers; a model for prioritization of software architecture effort; architectural assumptions and their management in industry - an exploratory study; microservices in a small development organization.",Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028982397&partnerID=40&md5=3660de41cf1dc6714b6b9f4fe5fcbfc9,,,,,,,Cited by: 0,,Unclassified,
