title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status
"Assessing Architecture Conformance to Coupling-Related
Infrastructure-as-Code Best Practices: Metrics and Case Studies","Ntentos, Evangelos and Zdun, Uwe and Soldani, Jacopo and Brogi, Antonio",,2022,ISI Web of Science,101-116,13444,"Infrastructure as Code (IaC) is an IT practice that facilitates the
management of the underlying infrastructure as software. It enables
developers or operations teams to automatically manage, monitor, and
provision resources rather than organize them manually. In many
industries, this practice is widespread and has already been fully
adopted. However, few studies provide techniques for evaluating
architectural conformance in IaC deployments and, in particular, aspects
such as loose coupling. This paper focuses on coupling-related patterns
and practices such as deployment strategies and the structuring of IaC
elements. Many best practices are documented in gray literature sources,
such as practitioner books, blogs, and public repositories. Still, there
are no approaches yet to automatically check conformance with such best
practices. We propose an approach based on generic,
technology-independent metrics tied to typical architectural design
decisions for IaC-based practices in microservice deployments to support
architecting in the context of continuous delivery practices. We present
three case studies based on open-source microservice architectures to
validate our approach.",Proceedings Paper,10.1007/978-3-031-16697-6\_7,,"Ntentos, E (Corresponding Author), Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Ntentos, Evangelos; Zdun, Uwe, Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Soldani, Jacopo; Brogi, Antonio, Univ Pisa, Fac Comp Sci, Pisa, Italy.",,"Infrastructure as Code; metrics; software architecture; architecture
conformance; IaC best practices",SPRINGER INTERNATIONAL PUBLISHING AG,0302-9743,English,"16th European Conference on Software Architecture (ECSA), Prague, CZECH
REPUBLIC, SEP 19-23, 2022",,Duplicated
Applying a Multi-platform Architectural Conformance Solution in a Real-world Microservice-based System,"Araujo, Elena A. and Esp\'{\i}ndola, \'{A}lvaro M. and Garcia, Vinicius Cardoso and Terra, Ricardo",,2020,ACM Digital Library,41–50,,"Microservice architectures are composed of a set of independent microservices that execute well-defined functionalities, allowing each one to be developed in different programming languages and data management technologies. The problem, however, is that such heterogeneity implies in a harder verification process of communication among microservices and the architectural designs of each microservice. Although the state-of-the-art provides several architectural conformance solutions, none formally restricts communications (e.g., over HTTP) between different systems. Even stable and industrial solutions---such as Kubernetes, Terraform, and Docker Compose---provide basic mechanisms to restrict communications between microservices. Thereupon, this paper proposes and evaluates a multi-platform architectural conformance solution for the microservice architecture. For this purpose, (i) we specify an architectural constraint language, called DCL+---adapted from the DCL (Dependency Constraint Language) language; (ii) we propose a multi-platform process that restricts the communication between the microservices and also verifies the architectural projects of each one of them; (iii) we develop DCL+check, a tool that implements the proposed solution; (iv) we apply our process in a medium-size real-world application composed of eleven microservices, developed in two different languages (JavaScript and Java). As result, we found 16 communication and 171 structural design violations. The communication violations occurred in general due to the lack of knowledge of the developers about the restrictions of communication among the modules of the orchestrator system and other microservices, as well as the evolution of two microservices.",,10.1145/3425269.3425270,https://doi.org/10.1145/3425269.3425270,,,,Association for Computing Machinery,,,,,Duplicated
Automatic Component Protocol Generation and Verification of Components,"Both, Andreas and Richter, Dirk",,2010,IEEE Digital Library,94-101,,"In several works a method was suggested to overcome the lack of signature-based composition currently enabled in component-based and service-oriented architectures (SOA). Several approaches allow to encode non-functional properties of a single component in a contract (component protocol) where the remote calls to a component are taken into consideration. Component protocols ensures that bugs or unsafe behavior caused interaction sequences are obeyed. Encoding business rules works fine as these contracts can be derived from human knowledge only and have to be defined manually, too. In this work we will show, how such unsafe behavior within source code can be discovered and prevented by automatic component protocol generation and model checking techniques.",,10.1109/SEAA.2010.30,,,,Protocols;Java;Contracts;Computational modeling;Software;Unified modeling language;Motorcycles;component-based software engineering;protocol generation;protocol conformance checking;verification;model checking;component composition,,2376-9505,,,,Duplicated
"Assessing Architecture Conformance to Security-Related Practices in
Infrastructure as Code Based Deployments","Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbuecher,
Uwe and Leymann, Frank",,2022,ISI Web of Science,123-133,,"Infrastructure as Code (IaC) enables developers and operations teams to
automatically deploy and manage an IT infrastructure via software. Among
other uses, IaC is widely used in the context of continuously released
deployments such as those of microservice and other cloud-based systems.
Although IaC-based deployments have been utilized by many companies,
there are no approaches on checking their conformance to architectural
aspects yet. In this paper, we focus on security-related practices
including observability, access control, and traffic control in
IaC-based deployments. While best practices for this topic have been
documented in some gray literature sources such as practitioners' blogs
and public repositories, approaches enabling automated checking of
conformance to such best practices do not yet exist. We propose a
model-based approach based on generic, technology-independent metrics,
tied to typical architectural design decisions on IaC-based deployments.
With this approach, we can measure conformance to security-related
practices. We demonstrate and assess the validity and appropriateness of
these metrics in assessing a system's conformance to practices through
regression analysis.",Proceedings Paper,10.1109/SCC55611.2022.00029,,"Ntentos, E (Corresponding Author), Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Ntentos, Evangelos; Zdun, Uwe, Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Falazi, Ghareeb; Breitenbuecher, Uwe; Leymann, Frank, Univ Stuttgart, Inst Architecture Applicat Syst, Stuttgart, Germany.",,"Infrastructure as code; metrics; software architecture; modeling; best
practices",IEEE COMPUTER SOC,2474-8137,English,"IEEE International Conference on Services Computing (IEEE SCC),
Barcelona, SPAIN, JUL 11-15, 2022",,Duplicated
"Assessing Architecture Conformance to Coupling-Related Patterns and
Practices in Microservices","Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner,
Sebastian and Geiger, Sebastian",,2020,ISI Web of Science,3-20,12292,"Microservices are the go-to architectural style for building
applications that are polyglot, support high scalability, independent
development and deployment, and are rapidly adaptable to changes. Among
the core tenets for a successful microservice architecture is high
independence of the individual microservices, i.e. loose coupling. A
number of patterns and best practices are well-established in the
literature, but most actual microservice-based systems do not, as a
whole or in part, conform to them. Assessing this conformance manually
is not realistically possible for large-scale systems. This study aims
to provide the foundations for an automated approach for assessing
conformance to coupling-related patterns and practices specific for
microservice architectures. We propose a model-based assessment based on
generic, technology-independent metrics, connected to typical design
decisions encountered in microservice architectures. We demonstrate and
assess the validity and appropriateness of these metrics by performing
an assessment of the conformance of real-world systems to patterns
through statistical methods.",Proceedings Paper,10.1007/978-3-030-58923-3\_1,,"Ntentos, E (Corresponding Author), Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Ntentos, Evangelos; Zdun, Uwe; Plakidas, Konstantinos, Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Meixner, Sebastian; Geiger, Sebastian, Siemens Corp Technol, Vienna, Austria.",,,SPRINGER INTERNATIONAL PUBLISHING AG,0302-9743,English,"14th European Conference on Software Architecture (ECSA), ELECTR
NETWORK, SEP 14-18, 2020",,Duplicated
"A toolset for conformance testing against UML sequence diagrams based on
event-driven colored Petri nets","Faria, Joao Pascoal and Paiva, Ana C. R.",INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER,2016,ISI Web of Science,285-304,18,"Novel techniques and a toolset are presented for automatically testing
the conformance of software implementations against partial behavioral
models constituted by a set of parameterized UML sequence diagrams,
describing both external interactions with users or client applications
and internal interactions between objects in the system. Test code is
automatically generated from the sequence diagrams and executed on the
implementation under test, and test results and coverage information are
presented back visually in the model. A runtime test library handles
internal interaction checking, test stubs, and user interaction testing,
taking advantage of aspect-oriented programming techniques. Incremental
conformance checking is achieved by first translating sequence diagrams
to Extended Petri Nets that combine the characteristics of Colored Petri
Nets and Event-Driven Petri Nets.",Article,10.1007/s10009-014-0354-x,,"Paiva, ACR (Corresponding Author), Univ Porto, Fac Engn, INESC TEC, Rua Campo Alegre 823, P-4100 Oporto, Portugal.
Paiva, ACR (Corresponding Author), Univ Porto, Fac Engn, Dept Informat Engn, Rua Campo Alegre 823, P-4100 Oporto, Portugal.
Faria, Joao Pascoal; Paiva, Ana C. R., Univ Porto, Fac Engn, INESC TEC, Rua Campo Alegre 823, P-4100 Oporto, Portugal.
Faria, Joao Pascoal; Paiva, Ana C. R., Univ Porto, Fac Engn, Dept Informat Engn, Rua Campo Alegre 823, P-4100 Oporto, Portugal.",,Sequence diagrams; Conformance testing; Petri nets,SPRINGER HEIDELBERG,1433-2779,English,,,Duplicated
An architectural style for scalable choreography-based microservice-oriented distributed systems,"Filippone, Gianluca and Pompilio, Claudio and Autili, Marco and Tivoli, Massimo",Computing,2022,ACM Digital Library,1933–1956,105,"Service choreographies are a versatile approach for building service-based distributed systems. Many approaches can be found in the literature tackling different aspects of service choreographies, such as choreography realizability and conformance checking, distributed coordination, formal choreographic languages, and scalability. As of today, choreography scalability has not been specifically addressed through approaches that also consider coordination issues while still decoupling these two related aspects. Scalability is one of the most important properties to be considered when building distributed systems. It enhances the user-perceived performances and influences the overall dependability of the system. In particular, load scalability allows distributed service-oriented systems to effectively handle varying loads without suffering performance degradation. In this direction, microservice-based systems are able to scale thanks to the possibility of replicating those microservices exposed to growing loads, distributing their workload among different instances. By leveraging on our experience in coordinating service choreographies, in this paper, we propose a layered architectural style that allows to realize scalable microservice-oriented choreographies. The architecture integrates a fully-distributed coordination layer capable of ensuring the correct interactions and a load-balancing layer that allows to balance of coordinated requests. We discuss the properties of the proposed architectural style and evaluate its benefits on user-perceived performances.",,10.1007/s00607-022-01139-5,https://doi.org/10.1007/s00607-022-01139-5,,,"Distributed systems, Microservices, Scalability, Load balancing",Springer-Verlag,0010-485X,,,,Duplicated
An Approach to Variability Management in Service-Oriented Product Lines,"Khoshnevis, Sedigheh",,2012,ISI Web of Science,1483-1486,,"Service-Oriented product lines (SOPLs) are dynamic software product
lines, in which, the products are developed based on services and
service-oriented architecture. Although there are similarities between
components and services, there are important differences so that we
cannot use component-based product line engineering methods and
techniques for SOPL engineering. These differences emerge from the fact
that, services can be discovered as black box elements from external
repositories. Moreover, services can be dynamically bound and are
business-aligned. Therefore, analyzing the conformance of discovered
external services with the variability of services in the SOPL -which
must be aligned to the variable business needs-is necessary. Variability
must be managed, that is, it must be represented (modeled), used
(instantiated and capable of conformance checking) and maintained
(evolved) over time. Feature Models are insufficient for modeling
variability in SOPL, because, services cannot be simply mapped to one or
more features, and identification of the mapping depends on knowing the
detailed implementation of the services. This research aims at providing
an approach to managing the variability in SOPLs so that external
services can be involved in the SOPL engineering. This paper presents an
overview of the proposal.",Proceedings Paper,,,"Khoshnevis, S (Corresponding Author), Shahid Beheshti Univ, Fac Elect \& Comp Engn, Dept Comp Engn, GC, Tehran, Iran.
Shahid Beheshti Univ, Fac Elect \& Comp Engn, Dept Comp Engn, GC, Tehran, Iran.",,"Service-Oriented Product Line; Variability Management; Variability
Modeling; Conformance Checking",IEEE,0270-5257,English,"34th International Conference on Software Engineering (ICSE), Zurich,
SWITZERLAND, JUN 02-09, 2012",,Duplicated
API Description-Based Conformance Assessment of Architectural Design Decision,"Singjai, Apitchaka and Zdun, Uwe",,2022,IEEE Digital Library,59-68,,"Microservice APIs are often designed based on Domain-Driven Design. It can be challenging to judge the quality of the relation between such a design and the implemented API, especially when facing frequent releases and changes in an API and its design models. Manual conformance assessment of this relation is time-intensive and error prone. This paper proposes a novel approach for automated conformance assessment of API designs in relation to API design decisions. Our approach aims to provide the first fully automated conformance assessment approach based solely on the code of API Descriptions such as OpenAPI. We applied and exemplified our approach for checking conformance to the patterns and practices in an API design decision for mapping links in a system’s domain model to API representations. The total accuracy score (F1-measure) for decision option identification in our multi-case study for this decision is 97.22%.",,10.1109/SOSE55356.2022.00013,,,,Privacy;Codes;Automation;Service-oriented systems engineering;Microservice architectures;Manuals;Machine learning;API Design;ADD;Architecture Conformance Assessment;DDD;Microservice Architecture,,2642-6587,,,,Duplicated
A toolset for conformance testing against UML sequence diagrams based on event-driven colored Petri nets,"Faria, Jo\~{a}o Pascoal and Paiva, Ana C.",Int. J. Softw. Tools Technol. Transf.,2016,ACM Digital Library,285–304,18,"Novel techniques and a toolset are presented for automatically testing the conformance of software implementations against partial behavioral models constituted by a set of parameterized UML sequence diagrams, describing both external interactions with users or client applications and internal interactions between objects in the system. Test code is automatically generated from the sequence diagrams and executed on the implementation under test, and test results and coverage information are presented back visually in the model. A runtime test library handles internal interaction checking, test stubs, and user interaction testing, taking advantage of aspect-oriented programming techniques. Incremental conformance checking is achieved by first translating sequence diagrams to Extended Petri Nets that combine the characteristics of Colored Petri Nets and Event-Driven Petri Nets.",,10.1007/s10009-014-0354-x,https://doi.org/10.1007/s10009-014-0354-x,,,"Conformance testing, Petri nets, Sequence diagrams",Springer-Verlag,1433-2779,,,,Duplicated
